corpus,arm,rep,instr,cyc,sha_ok
silesia,base1,0,0,0,1
silesia,base4,0,0,0,1
silesia,noprefetch4,0,0,0,1
silesia,thin1,0,0,0,1
silesia,nocrc4,0,0,0,1
monorepo,base1,0,0,0,1
monorepo,base4,0,0,0,1
monorepo,noprefetch4,0,0,0,1
monorepo,thin1,0,0,0,1
monorepo,nocrc4,0,0,0,1
nasa,base1,0,0,0,1
nasa,base4,0,0,0,1
nasa,noprefetch4,0,0,0,1
nasa,thin1,0,0,0,1
nasa,nocrc4,0,0,0,1
squishy,base1,0,0,0,1
squishy,base4,0,0,0,1
squishy,noprefetch4,0,0,0,1
squishy,thin1,0,0,0,1
squishy,nocrc4,0,0,0,1
silesia,base1,1,2174241147,912658926,1
silesia,base4,1,4019861438,1524481833,1
silesia,noprefetch4,1,2207623468,931548367,1
silesia,thin1,1,2191981842,928087972,1
silesia,nocrc4,1,6008774921,2323797775,1
monorepo,base1,1,359724883,148470472,1
monorepo,base4,1,1100553574,416657090,1
monorepo,noprefetch4,1,375090104,162131545,1
monorepo,thin1,1,363017449,151163582,1
monorepo,nocrc4,1,1391686826,525501543,1
nasa,base1,1,706946098,350115960,1
nasa,base4,1,2764141492,1031036684,1
nasa,noprefetch4,1,809490896,399329306,1
nasa,thin1,1,798843151,387912868,1
nasa,nocrc4,1,2777557664,1033147301,1
squishy,base1,1,3821052130,1762347364,1
squishy,base4,1,6856878833,2754422751,1
squishy,noprefetch4,1,4106487091,1905045942,1
squishy,thin1,1,4086479832,1892447730,1
squishy,nocrc4,1,10524277900,4407735116,1
silesia,base1,2,2103686381,876277057,1
silesia,base4,2,4018594527,1530114840,1
silesia,noprefetch4,2,2202353629,930932617,1
silesia,thin1,2,2193555416,921637840,1
silesia,nocrc4,2,6015461177,2324802710,1
monorepo,base1,2,349849096,143890891,1
monorepo,base4,2,1098921755,412646138,1
monorepo,noprefetch4,2,374874331,156669038,1
monorepo,thin1,2,363254105,150211079,1
monorepo,nocrc4,2,1390624230,524045876,1
nasa,base1,2,701842949,346360201,1
nasa,base4,2,2769346561,1033712731,1
nasa,noprefetch4,2,819613068,410509795,1
nasa,thin1,2,799327974,391808012,1
nasa,nocrc4,2,2763632436,1024455577,1
squishy,base1,2,3819875844,1761768404,1
squishy,base4,2,6879861210,2767060674,1
squishy,noprefetch4,2,4116788063,1919796655,1
squishy,thin1,2,4087192732,1898180779,1
squishy,nocrc4,2,10488676337,4392226661,1
silesia,base1,3,2103168723,878021173,1
silesia,base4,3,4017538924,1529363324,1
silesia,noprefetch4,3,2200384774,932317223,1
silesia,thin1,3,2189525325,917030322,1
silesia,nocrc4,3,5999298267,2305193085,1
monorepo,base1,3,348692496,145913790,1
monorepo,base4,3,1098371298,411200868,1
monorepo,noprefetch4,3,372677021,156763310,1
monorepo,thin1,3,361256459,151854458,1
monorepo,nocrc4,3,1389256980,524151397,1
nasa,base1,3,701156878,344316463,1
nasa,base4,3,2760648293,1028802424,1
nasa,noprefetch4,3,804590801,396744845,1
nasa,thin1,3,797066121,389022464,1
nasa,nocrc4,3,2763822604,1021186507,1
squishy,base1,3,3817567289,1764867512,1
squishy,base4,3,6871272309,2753675044,1
squishy,noprefetch4,3,4112242582,1922286502,1
squishy,thin1,3,4076767235,1886296099,1
squishy,nocrc4,3,10491999848,4384171423,1
silesia,base1,4,2103722495,875285160,1
silesia,base4,4,4017880671,1517636655,1
silesia,noprefetch4,4,2201382718,938953231,1
silesia,thin1,4,2182648384,914040357,1
silesia,nocrc4,4,6005188246,2318825475,1
monorepo,base1,4,348541126,144235222,1
monorepo,base4,4,1098569931,414605327,1
monorepo,noprefetch4,4,372750009,155905930,1
monorepo,thin1,4,361901117,151102294,1
monorepo,nocrc4,4,1391783572,524132416,1
nasa,base1,4,701313953,345606121,1
nasa,base4,4,2762573835,1028638989,1
nasa,noprefetch4,4,809037109,401813702,1
nasa,thin1,4,792194661,390685039,1
nasa,nocrc4,4,2773869852,1037080438,1
squishy,base1,4,3817864672,1771012951,1
