corpus,bytes,arm,threads,rep,instr,cyc,real
silesia,211968000,gzippy,1,1,2104552012,876283372,0.27
silesia,211968000,rapidgzip,1,1,5721122833,2110677498,0.66
silesia,211968000,gzippy,2,1,3957988171,1469040112,0.25
silesia,211968000,rapidgzip,2,1,6771991448,2387952045,0.40
silesia,211968000,gzippy,4,1,4019492910,1524374904,0.13
silesia,211968000,rapidgzip,4,1,6787751934,2400332854,0.22
silesia,211968000,gzippy,8,1,4053616578,1582140859,0.08
silesia,211968000,rapidgzip,8,1,6828548525,2426518674,0.15
monorepo,50915328,gzippy,1,1,350020480,146004071,0.04
monorepo,50915328,rapidgzip,1,1,1166533470,470862518,0.15
monorepo,50915328,gzippy,2,1,957502327,360821808,0.06
monorepo,50915328,rapidgzip,2,1,1629341308,581388418,0.11
monorepo,50915328,gzippy,4,1,1099448715,413537155,0.04
monorepo,50915328,rapidgzip,4,1,1771823775,624977227,0.07
monorepo,50915328,gzippy,8,1,1233564274,473089867,0.03
monorepo,50915328,rapidgzip,8,1,1878316885,669396688,0.05
nasa,205242368,gzippy,1,1,702064129,348182885,0.10
nasa,205242368,rapidgzip,1,1,2868552568,1004716733,0.31
nasa,205242368,gzippy,2,1,2549986094,954575349,0.17
nasa,205242368,rapidgzip,2,1,4713852016,1438535866,0.27
nasa,205242368,gzippy,4,1,2760132021,1025067864,0.11
nasa,205242368,rapidgzip,4,1,4958529779,1502743413,0.17
nasa,205242368,gzippy,8,1,2884435305,1076126912,0.06
nasa,205242368,rapidgzip,8,1,5169132850,1566774920,0.10
squishy,400391411,gzippy,1,1,3821319258,1761328870,0.55
squishy,400391411,rapidgzip,1,1,10675992767,3714285955,1.17
squishy,400391411,gzippy,2,1,6709991024,2659564454,0.46
squishy,400391411,rapidgzip,2,1,12492478788,4161653206,0.69
squishy,400391411,gzippy,4,1,6876842626,2761113576,0.24
squishy,400391411,rapidgzip,4,1,12523340711,4185327615,0.38
squishy,400391411,gzippy,8,1,6946687417,2878201541,0.15
squishy,400391411,rapidgzip,8,1,12604966468,4277315384,0.23
silesia,211968000,gzippy,1,2,2100883003,882409168,0.27
silesia,211968000,rapidgzip,1,2,5719533408,2102268807,0.66
silesia,211968000,gzippy,2,2,3952606740,1467320954,0.25
silesia,211968000,rapidgzip,2,2,6769721866,2388859161,0.40
silesia,211968000,gzippy,4,2,4017872852,1516198525,0.13
silesia,211968000,rapidgzip,4,2,6789974129,2426774724,0.23
silesia,211968000,gzippy,8,2,4049828322,1557087526,0.08
silesia,211968000,rapidgzip,8,2,6825199882,2426785997,0.15
monorepo,50915328,gzippy,1,2,349966308,143945406,0.04
monorepo,50915328,rapidgzip,1,2,1165064818,464645772,0.14
monorepo,50915328,gzippy,2,2,954288985,361584552,0.06
monorepo,50915328,rapidgzip,2,2,1626283036,578842934,0.11
monorepo,50915328,gzippy,4,2,1093444394,409004600,0.04
monorepo,50915328,rapidgzip,4,2,1767959335,622776854,0.07
monorepo,50915328,gzippy,8,2,1228153713,464586667,0.02
monorepo,50915328,rapidgzip,8,2,1877166156,670031424,0.05
nasa,205242368,gzippy,1,2,701406494,346458340,0.10
nasa,205242368,rapidgzip,1,2,2866441339,1000084221,0.31
nasa,205242368,gzippy,2,2,2544019171,947933030,0.17
nasa,205242368,rapidgzip,2,2,4712978617,1446070714,0.27
nasa,205242368,gzippy,4,2,2820745876,1057246583,0.10
nasa,205242368,rapidgzip,4,2,4959401039,1487329554,0.17
nasa,205242368,gzippy,8,2,2955608512,1152090263,0.06
nasa,205242368,rapidgzip,8,2,5136961375,1532869420,0.10
squishy,400391411,gzippy,1,2,3820269946,1760732738,0.54
squishy,400391411,rapidgzip,1,2,10673719053,3697164551,1.15
squishy,400391411,gzippy,2,2,6706773341,2650719552,0.45
