corpus,bytes,arm,threads,rep,wall_s
silesia,211968000,gz,1,1,0.279722
silesia,211968000,gz2,1,1,0.280883
silesia,211968000,rg,1,1,0.678800
silesia,211968000,ld,1,1,0.229994
silesia,211968000,gz,1,2,0.279564
silesia,211968000,gz2,1,2,0.279714
silesia,211968000,rg,1,2,0.668366
silesia,211968000,ld,1,2,0.230980
silesia,211968000,gz,1,3,0.278333
silesia,211968000,gz2,1,3,0.279850
silesia,211968000,rg,1,3,0.676011
silesia,211968000,ld,1,3,0.234170
silesia,211968000,gz,1,4,0.283564
silesia,211968000,gz2,1,4,0.283930
silesia,211968000,rg,1,4,0.759561
silesia,211968000,ld,1,4,0.262414
silesia,211968000,gz,1,5,0.281979
silesia,211968000,gz2,1,5,0.286539
silesia,211968000,rg,1,5,0.680437
silesia,211968000,ld,1,5,0.233322
silesia,211968000,gz,1,6,0.278835
silesia,211968000,gz2,1,6,0.279030
silesia,211968000,rg,1,6,0.677308
silesia,211968000,ld,1,6,0.239401
silesia,211968000,gz,1,7,0.292364
silesia,211968000,gz2,1,7,0.278062
silesia,211968000,rg,1,7,0.673690
silesia,211968000,ld,1,7,0.232057
silesia,211968000,gz,1,8,0.282942
silesia,211968000,gz2,1,8,0.279243
silesia,211968000,rg,1,8,0.679350
silesia,211968000,ld,1,8,0.237111
silesia,211968000,gz,1,9,0.279738
silesia,211968000,gz2,1,9,0.281620
silesia,211968000,rg,1,9,0.675599
silesia,211968000,ld,1,9,0.230808
silesia,211968000,gz,1,10,0.280184
silesia,211968000,gz2,1,10,0.280315
silesia,211968000,rg,1,10,0.674809
silesia,211968000,ld,1,10,0.234185
silesia,211968000,gz,1,11,0.312963
silesia,211968000,gz2,1,11,0.280972
silesia,211968000,rg,1,11,0.677931
silesia,211968000,ld,1,11,0.239144
silesia,211968000,gz,1,12,0.285101
silesia,211968000,gz2,1,12,0.281600
silesia,211968000,rg,1,12,0.675047
silesia,211968000,ld,1,12,0.230990
silesia,211968000,gz,1,13,0.281821
silesia,211968000,gz2,1,13,0.278852
silesia,211968000,rg,1,13,0.676496
silesia,211968000,ld,1,13,0.229868
silesia,211968000,gz,2,1,0.264630
silesia,211968000,gz2,2,1,0.262586
silesia,211968000,rg,2,1,0.412348
silesia,211968000,ld,2,1,0.228732
silesia,211968000,gz,2,2,0.266567
silesia,211968000,gz2,2,2,0.263986
silesia,211968000,rg,2,2,0.414974
silesia,211968000,ld,2,2,0.232666
silesia,211968000,gz,2,3,0.264498
silesia,211968000,gz2,2,3,0.265097
silesia,211968000,rg,2,3,0.414156
silesia,211968000,ld,2,3,0.231316
silesia,211968000,gz,2,4,0.265555
silesia,211968000,gz2,2,4,0.262838
silesia,211968000,rg,2,4,0.410904
silesia,211968000,ld,2,4,0.230266
silesia,211968000,gz,2,5,0.262659
silesia,211968000,gz2,2,5,0.261800
silesia,211968000,rg,2,5,0.410184
silesia,211968000,ld,2,5,0.230757
silesia,211968000,gz,2,6,0.262531
silesia,211968000,gz2,2,6,0.262778
silesia,211968000,rg,2,6,0.418412
silesia,211968000,ld,2,6,0.229717
silesia,211968000,gz,2,7,0.262718
silesia,211968000,gz2,2,7,0.263316
silesia,211968000,rg,2,7,0.409442
silesia,211968000,ld,2,7,0.229941
silesia,211968000,gz,2,8,0.263219
silesia,211968000,gz2,2,8,0.264334
silesia,211968000,rg,2,8,0.413313
silesia,211968000,ld,2,8,0.229953
silesia,211968000,gz,2,9,0.262459
silesia,211968000,gz2,2,9,0.262234
silesia,211968000,rg,2,9,0.408975
silesia,211968000,ld,2,9,0.236230
silesia,211968000,gz,2,10,0.265734
silesia,211968000,gz2,2,10,0.262686
silesia,211968000,rg,2,10,0.409402
silesia,211968000,ld,2,10,0.229469
silesia,211968000,gz,2,11,0.264686
silesia,211968000,gz2,2,11,0.264238
silesia,211968000,rg,2,11,0.410358
silesia,211968000,ld,2,11,0.229900
silesia,211968000,gz,2,12,0.262949
silesia,211968000,gz2,2,12,0.263051
silesia,211968000,rg,2,12,0.410818
silesia,211968000,ld,2,12,0.229295
silesia,211968000,gz,2,13,0.262503
silesia,211968000,gz2,2,13,0.262596
silesia,211968000,rg,2,13,0.412655
silesia,211968000,ld,2,13,0.229825
silesia,211968000,gz,4,1,0.140235
silesia,211968000,gz2,4,1,0.141377
silesia,211968000,rg,4,1,0.231257
silesia,211968000,ld,4,1,0.228546
silesia,211968000,gz,4,2,0.142007
silesia,211968000,gz2,4,2,0.140412
silesia,211968000,rg,4,2,0.233954
silesia,211968000,ld,4,2,0.231602
silesia,211968000,gz,4,3,0.142933
silesia,211968000,gz2,4,3,0.141482
silesia,211968000,rg,4,3,0.232788
silesia,211968000,ld,4,3,0.229541
silesia,211968000,gz,4,4,0.140608
silesia,211968000,gz2,4,4,0.140327
silesia,211968000,rg,4,4,0.233149
silesia,211968000,ld,4,4,0.230324
silesia,211968000,gz,4,5,0.140283
silesia,211968000,gz2,4,5,0.140783
silesia,211968000,rg,4,5,0.230815
silesia,211968000,ld,4,5,0.231184
silesia,211968000,gz,4,6,0.142211
silesia,211968000,gz2,4,6,0.141095
silesia,211968000,rg,4,6,0.230369
silesia,211968000,ld,4,6,0.231189
silesia,211968000,gz,4,7,0.141722
silesia,211968000,gz2,4,7,0.141454
silesia,211968000,rg,4,7,0.229378
silesia,211968000,ld,4,7,0.233103
silesia,211968000,gz,4,8,0.142199
silesia,211968000,gz2,4,8,0.141151
silesia,211968000,rg,4,8,0.234582
silesia,211968000,ld,4,8,0.229566
