corpus,rep,total_out,gz_tcyc,gz_tins,gz_w_cyc,gz_w_b,gz_m_cyc,gz_m_b,gz_o_cyc,gz_o_b,gz_ov,gz_sha,rg_tcyc,rg_tins,rg_w_cyc,rg_m_cyc,rg_m_b,rg_o_cyc,rg_o_b,rg_ov,gzaa_tcyc,gzaa_w_cyc
silesia,1,211968000,2450647249,5034886071,2307440520,211968000,139394192,73124965,785092,211968000,0,1,2280994580,4782835608,2062754848,199484656,73124965,2885764,211968000,0,2447730518,2311910328
silesia,2,211968000,2441469935,5033322390,2310395276,211968000,138160428,73124965,784700,211968000,0,1,2250633645,4760002127,2043198220,200239984,73124965,2889768,211968000,0,2441467668,2324725452
silesia,3,211968000,2437504535,5030137807,2307881408,211968000,142374652,73124965,822556,211968000,0,1,2276264274,4775916673,2073531236,198556260,73124965,2891336,211968000,0,2446348168,2317844116
silesia,4,211968000,2449868657,5038804247,2384305952,211968000,145637996,73124965,800352,211968000,0,1,2255027387,4755824648,2047851932,198096304,73124965,2903404,211968000,0,2439805850,2317700420
silesia,5,211968000,2445379009,5037493712,2306818444,211968000,139014204,73124965,789740,211968000,0,1,2260078719,4759946687,2051892556,208922084,73124965,2921380,211968000,0,2440407805,2288739936
silesia,6,211968000,2442518223,5035045274,2302411832,211968000,138721044,73124965,810516,211968000,0,1,2275587241,4776304662,2102646840,209376972,73124965,2899008,211968000,0,2440997606,2317795004
silesia,7,211968000,2441942436,5031066290,2289761628,211968000,142538200,73124965,811832,211968000,0,1,2265080916,4767022453,2062012792,197961736,73124965,2941064,211968000,0,2443502583,2325905120
silesia,8,211968000,2440484576,5035693135,2309408164,211968000,138694612,73124965,779632,211968000,0,1,2274638697,4775424272,2066589336,197524852,73124965,2903320,211968000,0,2445008117,2297361780
silesia,9,211968000,2445169250,5035946393,2315174960,211968000,144353972,73124965,782432,211968000,0,1,2276098196,4775228334,2069471012,199379684,73124965,2884252,211968000,0,2436146164,2303376768
nasa,1,205242368,1984840967,3728025339,1519708540,205242368,370917736,184311599,1016680,205242368,0,1,2089843729,4283171964,1587033700,506793448,184311599,3858456,205242368,0,1916032196,1472233140
nasa,2,205242368,1938811846,3695366877,1487165988,205242368,350848260,184311599,1010156,205242368,0,1,2102545485,4289201785,1598545144,525705600,184311599,3831324,205242368,0,1949211246,1479961392
nasa,3,205242368,1955045638,3711385636,1487355492,205242368,363391840,184311599,967960,205242368,0,1,2101971378,4282760367,1608731656,505848700,184311599,3837988,205242368,0,1922941743,1474012904
nasa,4,205242368,1982271362,3746038412,1523146324,205242368,353953264,184311599,903196,205242368,0,1,2102336298,4275057270,1623417096,516519696,184311599,3829980,205242368,0,1878405571,1488398464
nasa,5,205242368,1953624671,3705769539,1488140444,205242368,361874716,184311599,954744,205242368,0,1,2095293814,4276417863,1604193528,504284228,184311599,3838296,205242368,0,1887740459,1476748420
nasa,6,205242368,1923264442,3687840476,1468266492,205242368,381628016,184311599,995596,205242368,0,1,2108618994,4289104420,1614015536,498088752,184311599,3834572,205242368,0,1900153744,1470119644
nasa,7,205242368,1934867050,3679980778,1474431336,205242368,355193272,184311599,1041348,205242368,0,1,2101395017,4279753137,1610786576,577609032,184311599,3854452,205242368,0,1993848006,1525595036
nasa,8,205242368,1925366113,3678143575,1475382356,205242368,351186584,184311599,1061452,205242368,0,1,2121288800,4293347153,1644840036,514447164,184311599,3886232,205242368,0,1912271834,1488935392
nasa,9,205242368,1951686747,3703474321,1503973912,205242368,351270304,184311599,949704,205242368,0,1,2111855189,4288106395,1663063248,528475332,184311599,3835496,205242368,0,1915498081,1455643784
