corpus,rep,total_out,gz_tcyc,gz_w,gz_t,gz_tn,gz_d,gz_subov,rg_tcyc,rg_w,rg_t,rg_d,rg_subov,gzaa_w
silesia,1,211968000,2438316656,2365782636,84950404,2843,2094651608,0,2288342978,2071748700,31942064,2014676860,0,2349778648
silesia,2,211968000,2432888005,2315962740,72683716,2843,2062727212,0,2286071677,2079682696,31839248,2022745032,0,2299611552
silesia,3,211968000,2437966368,2286222988,72857176,2843,2046696652,0,2292420795,2070988220,31889620,2014552848,0,2288080452
silesia,4,211968000,2438289467,2295933584,73517360,2843,2054951332,0,2296123733,2076587520,32548880,2018794848,0,2355049340
silesia,5,211968000,2440362941,2308132372,74044180,2843,2068419472,0,2293791759,2074145948,32955188,2016112476,0,2292730300
silesia,6,211968000,2440368272,2301295780,75090176,2843,2061065804,0,2271520389,2064830796,32771032,2007126268,0,2280528348
silesia,7,211968000,2437052453,2302486228,73701656,2843,2058381864,0,2296007154,2079062748,32213608,2021412540,0,2311669696
silesia,8,211968000,2430732215,2290337112,78249136,2843,2047052364,0,2271995056,2063318236,32593820,2005171448,0,2311702736
silesia,9,211968000,2436358893,2290474508,78722868,2843,2046806160,0,2292862111,2081705276,32164608,2024820532,0,2330096916
nasa,1,205242368,1945389857,1505766108,13788432,373,1424217984,0,2124703917,1627892560,16117528,1584445744,0,1506457960
nasa,2,205242368,2009383786,1548394708,14548492,373,1473273648,0,2143320840,1660443764,15761228,1617215964,0,1509038692
nasa,3,205242368,1985170753,1511768384,14006356,373,1435279160,0,2102959265,1640468032,16097340,1592553228,0,1550030748
nasa,4,205242368,1969572084,1502184264,13922272,373,1429150240,0,2079036228,1594730788,15785896,1549853368,0,1449468468
nasa,5,205242368,1973326683,1513118152,13795712,373,1440940116,0,2120076942,1632353184,15965376,1587136600,0,1448492864
nasa,6,205242368,1960213615,1510161436,13769336,373,1432335632,0,2125111613,1640630740,15989540,1595506836,0,1462974744
nasa,7,205242368,1984328048,1558616360,13694072,373,1481712120,0,2105603083,1620017168,15532804,1576840272,0,1490573028
nasa,8,205242368,1949086344,1492837836,13615700,373,1421580384,0,2085702996,1599952928,15844416,1555960812,0,1493707544
nasa,9,205242368,1968931650,1501091788,13616400,373,1430011548,0,2138707380,1660934688,15785588,1617494200,0,1509405268
