corpus,arm,rep,rawbytes,cyc,instr
silesia,BASE,1,211968000,1026595201,2836276689
silesia,CAND,1,211968000,1034908166,2811738955
silesia,BASE,2,211968000,1017408485,2838268378
silesia,CAND,2,211968000,1033972811,2808885123
silesia,BASE,3,211968000,1025176410,2835217551
silesia,CAND,3,211968000,1034446534,2808462420
silesia,BASE,4,211968000,1015646115,2835317493
silesia,CAND,4,211968000,1038082150,2811755307
silesia,BASE,5,211968000,1019238541,2837654856
silesia,CAND,5,211968000,1036414330,2808973846
silesia,BASE,6,211968000,1020766358,2838483157
silesia,CAND,6,211968000,1037017592,2808768738
silesia,BASE,7,211968000,1020761892,2835631159
silesia,CAND,7,211968000,1036088590,2810578192
silesia,BASE,8,211968000,1018704501,2835448983
silesia,CAND,8,211968000,1034642442,2808672685
silesia,BASE,9,211968000,1019831416,2835068192
silesia,CAND,9,211968000,1039875252,2809921833
silesia,BASE,10,211968000,1023246131,2838595301
silesia,CAND,10,211968000,1038705923,2808706107
silesia,BASE,11,211968000,1017283333,2835300810
silesia,CAND,11,211968000,1031754323,2808871802
silesia,BASE,12,211968000,1015459199,2838283329
silesia,CAND,12,211968000,1034378640,2811838746
silesia,BASE,13,211968000,1014737760,2835243513
silesia,CAND,13,211968000,1032010926,2808350653
silesia,BASE,14,211968000,1020715740,2835393032
silesia,CAND,14,211968000,1034984338,2809146899
silesia,BASE,15,211968000,1014167888,2838494894
silesia,CAND,15,211968000,1031751493,2808454803
nasa,BASE,1,205242368,378773631,890728964
nasa,CAND,1,205242368,394552202,896572151
nasa,BASE,2,205242368,369977781,890183285
nasa,CAND,2,205242368,394411681,896576344
nasa,BASE,3,205242368,372153035,890263816
nasa,CAND,3,205242368,395876535,898926261
nasa,BASE,4,205242368,371377901,892889431
nasa,CAND,4,205242368,395422830,896437094
nasa,BASE,5,205242368,370930452,890185690
nasa,CAND,5,205242368,396849845,896919151
nasa,BASE,6,205242368,370747142,890126106
nasa,CAND,6,205242368,396998804,898692925
nasa,BASE,7,205242368,372478558,892719512
nasa,CAND,7,205242368,395697356,896650199
nasa,BASE,8,205242368,372216613,889883349
nasa,CAND,8,205242368,396587262,896520291
nasa,BASE,9,205242368,371262886,890097874
nasa,CAND,9,205242368,394910932,896719848
nasa,BASE,10,205242368,370969637,890054637
nasa,CAND,10,205242368,395653360,896550401
nasa,BASE,11,205242368,370336440,890053446
nasa,CAND,11,205242368,397354770,896780693
nasa,BASE,12,205242368,371508960,892675933
nasa,CAND,12,205242368,395178994,896540329
nasa,BASE,13,205242368,372348627,890348428
nasa,CAND,13,205242368,395677846,896565494
nasa,BASE,14,205242368,373421476,892845817
nasa,CAND,14,205242368,397822473,896792818
nasa,BASE,15,205242368,372641817,893020751
nasa,CAND,15,205242368,396353906,896478097
monorepo,BASE,1,50915328,168601570,434942970
monorepo,CAND,1,50915328,175410794,433777307
monorepo,BASE,2,50915328,168961259,437799985
monorepo,CAND,2,50915328,176316859,432143497
monorepo,BASE,3,50915328,168254976,435735688
monorepo,CAND,3,50915328,176230051,431014112
monorepo,BASE,4,50915328,166579359,434930706
monorepo,CAND,4,50915328,175286484,431079206
monorepo,BASE,5,50915328,167707598,437788061
monorepo,CAND,5,50915328,175378433,430911063
monorepo,BASE,6,50915328,167330325,437869599
monorepo,CAND,6,50915328,175551572,430795749
monorepo,BASE,7,50915328,166188449,434722578
monorepo,CAND,7,50915328,174453604,431132642
monorepo,BASE,8,50915328,165569928,434943453
monorepo,CAND,8,50915328,175758617,431132994
monorepo,BASE,9,50915328,168597227,437734018
monorepo,CAND,9,50915328,174749033,431008861
monorepo,BASE,10,50915328,166025365,438171591
monorepo,CAND,10,50915328,175002226,430914115
monorepo,BASE,11,50915328,168044999,434802085
monorepo,CAND,11,50915328,174505895,431020880
monorepo,BASE,12,50915328,167893187,438378733
monorepo,CAND,12,50915328,174626190,430945545
monorepo,BASE,13,50915328,166117651,434791716
monorepo,CAND,13,50915328,177084871,431826857
monorepo,BASE,14,50915328,165979505,434960210
monorepo,CAND,14,50915328,177165835,433593230
monorepo,BASE,15,50915328,166658361,437846231
monorepo,CAND,15,50915328,174898448,431017394
