corpus,arm,rep,rawbytes,cyc,instr
silesia,BASE,1,211968000,1120763746,2851376254
silesia,CAND,1,211968000,1103149505,2813787525
silesia,BASE,2,211968000,1116800611,2851212112
silesia,CAND,2,211968000,1116008696,2813771887
silesia,BASE,3,211968000,1118337218,2851285194
silesia,CAND,3,211968000,1103291443,2813824965
silesia,BASE,4,211968000,1115829669,2851269918
silesia,CAND,4,211968000,1104021506,2813690543
silesia,BASE,5,211968000,1117569751,2851172114
silesia,CAND,5,211968000,1103140612,2813784310
silesia,BASE,6,211968000,1116646412,2851132677
silesia,CAND,6,211968000,1103716323,2813829737
silesia,BASE,7,211968000,1117903615,2851357110
silesia,CAND,7,211968000,1104753672,2813745758
silesia,BASE,8,211968000,1117320841,2851173488
silesia,CAND,8,211968000,1104126781,2813790158
silesia,BASE,9,211968000,1117316427,2851183303
silesia,CAND,9,211968000,1104503090,2813761184
silesia,BASE,10,211968000,1117897436,2851068221
silesia,CAND,10,211968000,1105338037,2813902939
silesia,BASE,11,211968000,1118741032,2851073736
silesia,CAND,11,211968000,1105692697,2813813792
silesia,BASE,12,211968000,1118548401,2851131427
silesia,CAND,12,211968000,1105310175,2813801724
silesia,BASE,13,211968000,1121897416,2851281442
silesia,CAND,13,211968000,1105771398,2813872324
silesia,BASE,14,211968000,1119481644,2851237316
silesia,CAND,14,211968000,1105854770,2813812843
silesia,BASE,15,211968000,1120301116,2851183319
silesia,CAND,15,211968000,1107315855,2813756213
silesia,BASE,16,211968000,1118887322,2851165375
silesia,CAND,16,211968000,1107533487,2813984027
silesia,BASE,17,211968000,1121750454,2851234763
silesia,CAND,17,211968000,1106316932,2813715616
silesia,BASE,18,211968000,1119047252,2851150424
silesia,CAND,18,211968000,1105717101,2813840213
silesia,BASE,19,211968000,1119806220,2851261612
silesia,CAND,19,211968000,1106530735,2813777928
silesia,BASE,20,211968000,1120207327,2851223487
silesia,CAND,20,211968000,1105572244,2813718477
silesia,BASE,21,211968000,1119970689,2851190318
silesia,CAND,21,211968000,1105769551,2813789952
monorepo,BASE,1,50915328,194846030,440026679
monorepo,CAND,1,50915328,191278356,432988921
monorepo,BASE,2,50915328,197472959,439983392
monorepo,CAND,2,50915328,190374948,432914593
monorepo,BASE,3,50915328,193397408,440061040
monorepo,CAND,3,50915328,189867702,433010929
monorepo,BASE,4,50915328,194030545,440012383
monorepo,CAND,4,50915328,190294899,432975722
monorepo,BASE,5,50915328,194183529,440075140
monorepo,CAND,5,50915328,190177595,432973122
monorepo,BASE,6,50915328,193541963,439995122
monorepo,CAND,6,50915328,190395692,432996494
monorepo,BASE,7,50915328,193870481,440049035
monorepo,CAND,7,50915328,190210072,433018905
monorepo,BASE,8,50915328,193286165,439996956
monorepo,CAND,8,50915328,189887346,433025935
monorepo,BASE,9,50915328,194051017,439999542
monorepo,CAND,9,50915328,189622571,432993451
monorepo,BASE,10,50915328,193482271,439940594
monorepo,CAND,10,50915328,190121141,432968450
monorepo,BASE,11,50915328,193597209,440061866
monorepo,CAND,11,50915328,190138859,432948734
monorepo,BASE,12,50915328,194050826,440007493
monorepo,CAND,12,50915328,190437973,432981195
monorepo,BASE,13,50915328,193894493,440009940
monorepo,CAND,13,50915328,189922747,433030290
monorepo,BASE,14,50915328,194538388,439974551
monorepo,CAND,14,50915328,190311647,432984802
monorepo,BASE,15,50915328,193452912,439998573
monorepo,CAND,15,50915328,190080156,432994715
