corpus,arm,rep,rawbytes,cyc,instr
silesia,BASE,1,211968000,1007368391,2823787335
silesia,CAND,1,211968000,1014243055,2787574496
silesia,BASE,2,211968000,1019908056,2823838453
silesia,CAND,2,211968000,1005239035,2785947200
silesia,BASE,3,211968000,1011628875,2822983539
silesia,CAND,3,211968000,1010561474,2786219854
silesia,BASE,4,211968000,1010147438,2823380668
silesia,CAND,4,211968000,1012068792,2786151423
silesia,BASE,5,211968000,1017205366,2823872016
silesia,CAND,5,211968000,1013112013,2787447139
silesia,BASE,6,211968000,1008299262,2823530799
silesia,CAND,6,211968000,1004223442,2785628567
silesia,BASE,7,211968000,1008608978,2823615910
silesia,CAND,7,211968000,1016135522,2785887245
silesia,BASE,8,211968000,1008549619,2823849300
silesia,CAND,8,211968000,1002911509,2786486094
silesia,BASE,9,211968000,1006653607,2823528629
silesia,CAND,9,211968000,1004014519,2786140530
silesia,BASE,10,211968000,1006780950,2823582370
silesia,CAND,10,211968000,1007107322,2786651489
silesia,BASE,11,211968000,1008459978,2823881600
silesia,CAND,11,211968000,1001289518,2785670352
silesia,BASE,12,211968000,1007229374,2823217446
silesia,CAND,12,211968000,1002908687,2785736952
silesia,BASE,13,211968000,1015799522,2826156112
silesia,CAND,13,211968000,1003561187,2786754832
silesia,BASE,14,211968000,1010342578,2823191544
silesia,CAND,14,211968000,1009293646,2789561265
silesia,BASE,15,211968000,1009427835,2824538052
silesia,CAND,15,211968000,1004112575,2785728615
nasa,BASE,1,205242368,378539385,892635920
nasa,CAND,1,205242368,334427243,864682435
nasa,BASE,2,205242368,373016236,889903870
nasa,CAND,2,205242368,337557660,867518909
nasa,BASE,3,205242368,373608701,889911750
nasa,CAND,3,205242368,336992037,864679574
nasa,BASE,4,205242368,377709639,889815523
nasa,CAND,4,205242368,337671574,864426829
nasa,BASE,5,205242368,373443208,889723862
nasa,CAND,5,205242368,333762420,868045602
nasa,BASE,6,205242368,371483228,889972919
nasa,CAND,6,205242368,332681328,865906967
nasa,BASE,7,205242368,370708184,889940735
nasa,CAND,7,205242368,333503603,864703155
nasa,BASE,8,205242368,371912469,890095323
nasa,CAND,8,205242368,332911063,864747098
nasa,BASE,9,205242368,371847010,889707986
nasa,CAND,9,205242368,335187550,864598023
nasa,BASE,10,205242368,373381735,889832546
nasa,CAND,10,205242368,335824524,865000424
nasa,BASE,11,205242368,374528021,892550014
nasa,CAND,11,205242368,333853696,864727082
nasa,BASE,12,205242368,370614915,889863528
nasa,CAND,12,205242368,333999667,865509495
nasa,BASE,13,205242368,371623908,889893986
nasa,CAND,13,205242368,334900480,867574189
nasa,BASE,14,205242368,373294748,890081304
nasa,CAND,14,205242368,335771176,867606044
nasa,BASE,15,205242368,372839954,890828381
nasa,CAND,15,205242368,334986096,864860892
monorepo,BASE,1,50915328,168259952,434885683
monorepo,CAND,1,50915328,163940943,427765268
monorepo,BASE,2,50915328,166920141,436969455
monorepo,CAND,2,50915328,164729576,430732860
monorepo,BASE,3,50915328,169696407,438208386
monorepo,CAND,3,50915328,163058913,427755472
monorepo,BASE,4,50915328,165990413,434723789
monorepo,CAND,4,50915328,165251503,430922835
monorepo,BASE,5,50915328,167569372,438102413
monorepo,CAND,5,50915328,164788445,430729235
monorepo,BASE,6,50915328,168378000,437750116
monorepo,CAND,6,50915328,166174098,427764612
monorepo,BASE,7,50915328,167103409,434976495
monorepo,CAND,7,50915328,166634555,429155290
monorepo,BASE,8,50915328,165358171,434867725
monorepo,CAND,8,50915328,163719343,429133807
monorepo,BASE,9,50915328,166753594,437363877
monorepo,CAND,9,50915328,165192025,427709421
monorepo,BASE,10,50915328,166557975,434827489
monorepo,CAND,10,50915328,166910671,427675501
monorepo,BASE,11,50915328,166295340,436202427
monorepo,CAND,11,50915328,164285227,430875447
monorepo,BASE,12,50915328,170494474,437830145
monorepo,CAND,12,50915328,163973486,427744819
monorepo,BASE,13,50915328,165485619,435037029
monorepo,CAND,13,50915328,167131750,430836334
monorepo,BASE,14,50915328,168512958,434973068
monorepo,CAND,14,50915328,165054319,427732840
monorepo,BASE,15,50915328,167115217,438165785
monorepo,CAND,15,50915328,164788664,428470939
