
corpus,tool,rep,wall
silesia,GZ,1,0.351693
silesia,IGZIP,1,0.343346
silesia,GZ,2,0.355109
silesia,IGZIP,2,0.339248
silesia,GZ,3,0.351498
silesia,IGZIP,3,0.339558
silesia,GZ,4,0.351069
silesia,IGZIP,4,0.339374
silesia,GZ,5,0.350703
silesia,IGZIP,5,0.339375
silesia,GZ,6,0.350650
silesia,IGZIP,6,0.339842
silesia,GZ,7,0.351619
silesia,IGZIP,7,0.340183
silesia,GZ,8,0.355457
silesia,IGZIP,8,0.340344
silesia,GZ,9,0.351024
silesia,IGZIP,9,0.340017
silesia,GZ,10,0.350987
silesia,IGZIP,10,0.339623
silesia,GZ,11,0.351209
silesia,IGZIP,11,0.340380
silesia,GZ,12,0.351825
silesia,IGZIP,12,0.339781
silesia,GZ,13,0.351155
silesia,IGZIP,13,0.340025
silesia,GZ,14,0.351555
silesia,IGZIP,14,0.339868
silesia,GZ,15,0.350898
silesia,IGZIP,15,0.339615
monorepo,GZ,1,0.063812
monorepo,IGZIP,1,0.059132
monorepo,GZ,2,0.063773
monorepo,IGZIP,2,0.059065
monorepo,GZ,3,0.063736
monorepo,IGZIP,3,0.058395
monorepo,GZ,4,0.064287
monorepo,IGZIP,4,0.058460
monorepo,GZ,5,0.063942
monorepo,IGZIP,5,0.059112
monorepo,GZ,6,0.063669
monorepo,IGZIP,6,0.058698
monorepo,GZ,7,0.064162
monorepo,IGZIP,7,0.058582
monorepo,GZ,8,0.063970
monorepo,IGZIP,8,0.059356
monorepo,GZ,9,0.063658
monorepo,IGZIP,9,0.058000
monorepo,GZ,10,0.064225
monorepo,IGZIP,10,0.059146
monorepo,GZ,11,0.063866
monorepo,IGZIP,11,0.058717
monorepo,GZ,12,0.063431
monorepo,IGZIP,12,0.058776
monorepo,GZ,13,0.063922
monorepo,IGZIP,13,0.058939
monorepo,GZ,14,0.063414
monorepo,IGZIP,14,0.059035
monorepo,GZ,15,0.063553
monorepo,IGZIP,15,0.058660
nasa,GZ,1,0.127386
nasa,IGZIP,1,0.125991
nasa,GZ,2,0.127225
nasa,IGZIP,2,0.125519
nasa,GZ,3,0.127934
nasa,IGZIP,3,0.125611
nasa,GZ,4,0.127103
nasa,IGZIP,4,0.125521
nasa,GZ,5,0.126842
nasa,IGZIP,5,0.125730
nasa,GZ,6,0.127387
nasa,IGZIP,6,0.125663
nasa,GZ,7,0.127241
nasa,IGZIP,7,0.125513
nasa,GZ,8,0.127441
nasa,IGZIP,8,0.124851
nasa,GZ,9,0.126537
nasa,IGZIP,9,0.126567
nasa,GZ,10,0.127645
nasa,IGZIP,10,0.125061
nasa,GZ,11,0.126998
nasa,IGZIP,11,0.125164
nasa,GZ,12,0.127611
nasa,IGZIP,12,0.125301
nasa,GZ,13,0.126991
nasa,IGZIP,13,0.125314
nasa,GZ,14,0.127364
nasa,IGZIP,14,0.125225
nasa,GZ,15,0.127472
nasa,IGZIP,15,0.125732
