corpus,arm,rep,rawbytes,cyc,instr
silesia,BASE,1,211968000,1126320583,2855740186
silesia,CAND,1,211968000,1112086517,2851311240
silesia,BASE,2,211968000,1115995737,2851118981
silesia,CAND,2,211968000,1112017889,2851347131
silesia,BASE,3,211968000,1116917200,2851164660
silesia,CAND,3,211968000,1112448764,2851446045
silesia,BASE,4,211968000,1117417830,2851080948
silesia,CAND,4,211968000,1112874143,2851297363
silesia,BASE,5,211968000,1118305425,2851415325
silesia,CAND,5,211968000,1115240920,2851311594
silesia,BASE,6,211968000,1122604110,2851145308
silesia,CAND,6,211968000,1112594161,2851286887
silesia,BASE,7,211968000,1118506524,2851138910
silesia,CAND,7,211968000,1113798949,2851364596
silesia,BASE,8,211968000,1119872443,2851292793
silesia,CAND,8,211968000,1119704440,2851343960
silesia,BASE,9,211968000,1117582866,2851229275
silesia,CAND,9,211968000,1116121890,2851353123
silesia,BASE,10,211968000,1124057070,2851173888
silesia,CAND,10,211968000,1115863092,2851375206
silesia,BASE,11,211968000,1120623198,2851280487
silesia,CAND,11,211968000,1117167879,2851506226
silesia,BASE,12,211968000,1118984098,2851097969
silesia,CAND,12,211968000,1113882354,2851345856
silesia,BASE,13,211968000,1119759996,2851116182
silesia,CAND,13,211968000,1114431881,2851340002
silesia,BASE,14,211968000,1117677041,2851053115
silesia,CAND,14,211968000,1113524752,2851396582
silesia,BASE,15,211968000,1119115950,2851222575
silesia,CAND,15,211968000,1114571005,2851366522
silesia,BASE,16,211968000,1118587342,2851229487
silesia,CAND,16,211968000,1114052422,2851306158
silesia,BASE,17,211968000,1118541466,2851087671
silesia,CAND,17,211968000,1118955979,2851393619
silesia,BASE,18,211968000,1122643657,2851156429
silesia,CAND,18,211968000,1115254758,2851390644
silesia,BASE,19,211968000,1119326648,2851245169
silesia,CAND,19,211968000,1113882467,2851384872
silesia,BASE,20,211968000,1117454160,2850827464
silesia,CAND,20,211968000,1116943553,2851372937
silesia,BASE,21,211968000,1119133244,2851197501
silesia,CAND,21,211968000,1113645404,2851284467
