corpus,arm,rep,rawbytes,cyc,instr
silesia,BASE,1,211968000,1129197266,2852594657
silesia,CAND,1,211968000,1132566219,2736862481
silesia,BASE,2,211968000,1125855890,2852388719
silesia,CAND,2,211968000,1133551535,2736953936
silesia,BASE,3,211968000,1121849408,2852466146
silesia,CAND,3,211968000,1132108815,2736807178
silesia,BASE,4,211968000,1122209864,2852358495
silesia,CAND,4,211968000,1133624145,2737117673
silesia,BASE,5,211968000,1124002860,2852319139
silesia,CAND,5,211968000,1132991796,2736985918
silesia,BASE,6,211968000,1123255223,2852442363
silesia,CAND,6,211968000,1130956708,2736952954
silesia,BASE,7,211968000,1123211073,2852287283
silesia,CAND,7,211968000,1133881346,2736808340
silesia,BASE,8,211968000,1122022217,2852329601
silesia,CAND,8,211968000,1133313468,2736891968
silesia,BASE,9,211968000,1124157892,2852245942
silesia,CAND,9,211968000,1131890845,2736795888
silesia,BASE,10,211968000,1125152080,2852460598
silesia,CAND,10,211968000,1130685561,2736836881
silesia,BASE,11,211968000,1122978331,2852285628
silesia,CAND,11,211968000,1132076628,2736801944
silesia,BASE,12,211968000,1128821583,2852299841
silesia,CAND,12,211968000,1134768072,2736787541
silesia,BASE,13,211968000,1122165027,2852357278
silesia,CAND,13,211968000,1133381428,2736815230
silesia,BASE,14,211968000,1124569302,2852489928
silesia,CAND,14,211968000,1132287036,2736865232
silesia,BASE,15,211968000,1123599110,2852337730
silesia,CAND,15,211968000,1132320875,2736881648
monorepo,BASE,1,50915328,194265413,440383403
monorepo,CAND,1,50915328,194003980,424124309
monorepo,BASE,2,50915328,192680274,440326167
monorepo,CAND,2,50915328,193782461,424102134
monorepo,BASE,3,50915328,194166497,440469679
monorepo,CAND,3,50915328,194751474,424179298
monorepo,BASE,4,50915328,193586948,440375495
monorepo,CAND,4,50915328,195852117,424152203
monorepo,BASE,5,50915328,192667859,440364224
monorepo,CAND,5,50915328,194079290,424115477
monorepo,BASE,6,50915328,193397839,440450505
monorepo,CAND,6,50915328,193468407,424232463
monorepo,BASE,7,50915328,193713893,440309041
monorepo,CAND,7,50915328,196072929,424123185
monorepo,BASE,8,50915328,193945631,440301886
monorepo,CAND,8,50915328,195284824,424063109
monorepo,BASE,9,50915328,194333933,440415100
monorepo,CAND,9,50915328,194531759,424128311
monorepo,BASE,10,50915328,193462350,440346221
monorepo,CAND,10,50915328,193782907,424116334
monorepo,BASE,11,50915328,192593112,440335171
monorepo,CAND,11,50915328,193630868,424074263
monorepo,BASE,12,50915328,195410324,440295785
monorepo,CAND,12,50915328,194990850,424105439
monorepo,BASE,13,50915328,194358600,440357517
monorepo,CAND,13,50915328,194372635,424115887
monorepo,BASE,14,50915328,195266806,440416951
monorepo,CAND,14,50915328,196024631,424083333
monorepo,BASE,15,50915328,192793314,440335344
monorepo,CAND,15,50915328,194889172,424159197
nasa,BASE,1,205242368,422149620,901858873
nasa,CAND,1,205242368,426793463,868845303
nasa,BASE,2,205242368,422329034,901275850
nasa,CAND,2,205242368,427915989,868858462
nasa,BASE,3,205242368,420203984,901351365
nasa,CAND,3,205242368,425775083,868820529
nasa,BASE,4,205242368,420467077,901361596
nasa,CAND,4,205242368,426667038,868901267
nasa,BASE,5,205242368,422057148,901351513
nasa,CAND,5,205242368,426697260,868803459
nasa,BASE,6,205242368,422707222,901352076
nasa,CAND,6,205242368,427584623,868914498
nasa,BASE,7,205242368,421876432,901419461
nasa,CAND,7,205242368,428090449,868971147
nasa,BASE,8,205242368,421695705,901285220
nasa,CAND,8,205242368,427460095,868893060
nasa,BASE,9,205242368,420954156,901320724
nasa,CAND,9,205242368,428260927,868817938
nasa,BASE,10,205242368,423359873,901296436
nasa,CAND,10,205242368,429555309,868843495
nasa,BASE,11,205242368,421396873,901448102
nasa,CAND,11,205242368,430377754,868826865
nasa,BASE,12,205242368,423079699,901233890
nasa,CAND,12,205242368,429646286,868831226
nasa,BASE,13,205242368,423042899,901313754
nasa,CAND,13,205242368,430511719,868894934
nasa,BASE,14,205242368,423430094,901360947
nasa,CAND,14,205242368,425991838,868852183
nasa,BASE,15,205242368,424337324,901342633
nasa,CAND,15,205242368,426727263,868842585
