corpus,arm,rep,rawbytes,cyc,instr
silesia,BASE,1,211968000,1032072562,2835898478
silesia,CAND,1,211968000,1024267608,2719302038
silesia,BASE,2,211968000,1023058675,2834938725
silesia,CAND,2,211968000,1019688927,2721461737
silesia,BASE,3,211968000,1022301612,2838660026
silesia,CAND,3,211968000,1015278194,2720176867
silesia,BASE,4,211968000,1032187903,2835207108
silesia,CAND,4,211968000,1035176217,2720433773
silesia,BASE,5,211968000,1032508031,2838747834
silesia,CAND,5,211968000,1045458846,2719504639
silesia,BASE,6,211968000,1021972060,2838546479
silesia,CAND,6,211968000,1012018480,2719899443
silesia,BASE,7,211968000,1018617821,2835506923
silesia,CAND,7,211968000,1007790721,2719374458
silesia,BASE,8,211968000,1018815258,2835155517
silesia,CAND,8,211968000,1014601037,2719926420
silesia,BASE,9,211968000,1021739284,2837704027
silesia,CAND,9,211968000,1013048675,2722933971
silesia,BASE,10,211968000,1026079816,2835136679
silesia,CAND,10,211968000,1009193235,2719925162
silesia,BASE,11,211968000,1016434143,2835284258
silesia,CAND,11,211968000,1018888129,2723173931
silesia,BASE,12,211968000,1031254588,2835378221
silesia,CAND,12,211968000,1015615091,2719551375
silesia,BASE,13,211968000,1020382919,2838373231
silesia,CAND,13,211968000,1013288022,2721690166
silesia,BASE,14,211968000,1021655698,2834985608
silesia,CAND,14,211968000,1011020073,2719723718
silesia,BASE,15,211968000,1021858852,2834977451
silesia,CAND,15,211968000,1014458143,2719921885
nasa,BASE,1,205242368,370065568,890249334
nasa,CAND,1,205242368,365115582,859274692
nasa,BASE,2,205242368,366285021,890274048
nasa,CAND,2,205242368,365816452,860872676
nasa,BASE,3,205242368,375493668,890324625
nasa,CAND,3,205242368,365829479,859944326
nasa,BASE,4,205242368,367909103,890274693
nasa,CAND,4,205242368,363851257,858304053
nasa,BASE,5,205242368,367813714,893314999
nasa,CAND,5,205242368,362798254,857679025
nasa,BASE,6,205242368,368776526,890422681
nasa,CAND,6,205242368,363487989,857824565
nasa,BASE,7,205242368,367411454,890189789
nasa,CAND,7,205242368,362878603,860470602
nasa,BASE,8,205242368,367155667,892823959
nasa,CAND,8,205242368,361637756,857665820
nasa,BASE,9,205242368,367324112,892777429
nasa,CAND,9,205242368,363974886,857711661
nasa,BASE,10,205242368,368440606,890259170
nasa,CAND,10,205242368,363466196,860200018
nasa,BASE,11,205242368,372662857,890622596
nasa,CAND,11,205242368,366738246,857732366
nasa,BASE,12,205242368,373874046,890132139
nasa,CAND,12,205242368,362669372,857513032
nasa,BASE,13,205242368,368411608,890999524
nasa,CAND,13,205242368,363470345,860277243
nasa,BASE,14,205242368,366203576,890261202
nasa,CAND,14,205242368,364310310,860230184
nasa,BASE,15,205242368,368370857,890234300
nasa,CAND,15,205242368,362690183,859631802
monorepo,BASE,1,50915328,170582224,434903548
monorepo,CAND,1,50915328,165161666,418541627
monorepo,BASE,2,50915328,169710004,437808034
monorepo,CAND,2,50915328,169090800,418659672
monorepo,BASE,3,50915328,167728968,435196557
monorepo,CAND,3,50915328,165887472,418761539
monorepo,BASE,4,50915328,173692338,434974163
monorepo,CAND,4,50915328,168605346,418743533
monorepo,BASE,5,50915328,166513545,435114678
monorepo,CAND,5,50915328,167441113,418696252
monorepo,BASE,6,50915328,167715872,435102967
monorepo,CAND,6,50915328,167700213,418665672
monorepo,BASE,7,50915328,168294735,435110311
monorepo,CAND,7,50915328,166329591,421557811
monorepo,BASE,8,50915328,167834681,437644336
monorepo,CAND,8,50915328,165830086,418609012
monorepo,BASE,9,50915328,166776434,434846821
monorepo,CAND,9,50915328,166648893,421223897
monorepo,BASE,10,50915328,166594115,434957009
monorepo,CAND,10,50915328,166976664,418736391
monorepo,BASE,11,50915328,168180430,435031399
monorepo,CAND,11,50915328,165743914,418740888
monorepo,BASE,12,50915328,167575579,434812837
monorepo,CAND,12,50915328,165644512,418642069
monorepo,BASE,13,50915328,168246728,434903228
monorepo,CAND,13,50915328,164839139,418522657
monorepo,BASE,14,50915328,166922381,434905100
monorepo,CAND,14,50915328,167516177,418677958
monorepo,BASE,15,50915328,166674309,434895265
monorepo,CAND,15,50915328,165905504,418549148
