cell,corpus,thr,arm,rep,wall_s
T1,silesia,1,GZ,1,0.254534
T1,silesia,1,LIBDEFLATE,1,0.278510
T1,silesia,1,PIGZ,1,0.312386
T1,silesia,1,RG,1,0.806308
T1,silesia,1,GUNZIP,1,0.821570
T1,silesia,1,GZ,2,0.257244
T1,silesia,1,LIBDEFLATE,2,0.242695
T1,silesia,1,PIGZ,2,0.268633
T1,silesia,1,RG,2,0.696687
T1,silesia,1,GUNZIP,2,0.775254
T1,silesia,1,GZ,3,0.253967
T1,silesia,1,LIBDEFLATE,3,0.244254
T1,silesia,1,PIGZ,3,0.269731
T1,silesia,1,RG,3,0.696134
T1,silesia,1,GUNZIP,3,0.765600
T1,silesia,1,GZ,4,0.257266
T1,silesia,1,LIBDEFLATE,4,0.243920
T1,silesia,1,PIGZ,4,0.270535
T1,silesia,1,RG,4,0.693308
T1,silesia,1,GUNZIP,4,0.782488
T1,silesia,1,GZ,5,0.257294
T1,silesia,1,LIBDEFLATE,5,0.241278
T1,silesia,1,PIGZ,5,0.272663
T1,silesia,1,RG,5,0.697595
T1,silesia,1,GUNZIP,5,0.775445
T1,silesia,1,GZ,6,0.252404
T1,silesia,1,LIBDEFLATE,6,0.243502
T1,silesia,1,PIGZ,6,0.269960
T1,silesia,1,RG,6,0.696669
T1,silesia,1,GUNZIP,6,0.768293
T1,silesia,1,GZ,7,0.252233
T1,silesia,1,LIBDEFLATE,7,0.243557
T1,silesia,1,PIGZ,7,0.270864
T1,silesia,1,RG,7,0.698709
T1,silesia,1,GUNZIP,7,0.766661
T1,silesia,1,GZ,8,0.255159
T1,silesia,1,LIBDEFLATE,8,0.242916
T1,silesia,1,PIGZ,8,0.268916
T1,silesia,1,RG,8,0.697128
T1,silesia,1,GUNZIP,8,0.771242
T1,silesia,1,GZ,9,0.253238
T1,silesia,1,LIBDEFLATE,9,0.242626
T1,silesia,1,PIGZ,9,0.271192
T1,silesia,1,RG,9,0.698397
T1,silesia,1,GUNZIP,9,0.768659
T1,silesia,1,GZ,10,0.256287
T1,silesia,1,LIBDEFLATE,10,0.244475
T1,silesia,1,PIGZ,10,0.271336
T1,silesia,1,RG,10,0.695961
T1,silesia,1,GUNZIP,10,0.769638
T1,silesia,1,GZ,11,0.257352
T1,silesia,1,LIBDEFLATE,11,0.243409
T1,silesia,1,PIGZ,11,0.270527
T1,silesia,1,RG,11,0.695446
T1,silesia,1,GUNZIP,11,0.770340
T1,silesia,1,GZ,12,0.253158
T1,silesia,1,LIBDEFLATE,12,0.245925
T1,silesia,1,PIGZ,12,0.270724
