cell,thr,arm,rep,wall_s
T2,2,GZ,1,0.267988
T2,2,RG,1,0.334284
T2,2,PIGZ,1,0.348699
T2,2,GZ,2,0.264374
T2,2,RG,2,0.330795
T2,2,PIGZ,2,0.334708
T2,2,GZ,3,0.264863
T2,2,RG,3,0.333493
T2,2,PIGZ,3,0.335765
T2,2,GZ,4,0.265200
T2,2,RG,4,0.330945
T2,2,PIGZ,4,0.335298
T2,2,GZ,5,0.265279
T2,2,RG,5,0.332574
T2,2,PIGZ,5,0.335238
T2,2,GZ,6,0.263915
T2,2,RG,6,0.330389
T2,2,PIGZ,6,0.336668
T2,2,GZ,7,0.265201
T2,2,RG,7,0.331249
T2,2,PIGZ,7,0.335010
T2,2,GZ,8,0.263767
T2,2,RG,8,0.331345
T2,2,PIGZ,8,0.336809
T2,2,GZ,9,0.263815
T2,2,RG,9,0.331365
T2,2,PIGZ,9,0.334455
T2,2,GZ,10,0.264284
T2,2,RG,10,0.332397
T2,2,PIGZ,10,0.333983
T2,2,GZ,11,0.263920
T2,2,RG,11,0.331644
T2,2,PIGZ,11,0.333649
T4,4,GZ,1,1.013296
T4,4,RG,1,1.096244
T4,4,PIGZ,1,1.805640
T4,4,GZ,2,1.001029
T4,4,RG,2,1.102598
T4,4,PIGZ,2,1.812939
T4,4,GZ,3,1.005549
T4,4,RG,3,1.095549
T4,4,PIGZ,3,1.802818
T4,4,GZ,4,1.003549
T4,4,RG,4,1.091781
T4,4,PIGZ,4,1.871691
T4,4,GZ,5,1.000420
T4,4,RG,5,1.089759
T4,4,PIGZ,5,1.809124
T4,4,GZ,6,1.005799
T4,4,RG,6,1.094319
T4,4,PIGZ,6,1.820050
T4,4,GZ,7,1.004761
T4,4,RG,7,1.100044
T4,4,PIGZ,7,1.819567
T4,4,GZ,8,1.077098
T4,4,RG,8,1.094084
T4,4,PIGZ,8,1.890650
T4,4,GZ,9,1.004449
T4,4,RG,9,1.096516
T4,4,PIGZ,9,1.816532
T4,4,GZ,10,0.996631
T4,4,RG,10,1.102526
T4,4,PIGZ,10,1.802178
T4,4,GZ,11,0.996078
T4,4,RG,11,1.085334
T4,4,PIGZ,11,1.809598
T8,8,GZ,1,0.488698
T8,8,RG,1,0.534326
T8,8,PIGZ,1,1.767134
T8,8,GZ,2,0.501835
T8,8,RG,2,0.560230
T8,8,PIGZ,2,1.761193
T8,8,GZ,3,0.482246
T8,8,RG,3,0.573487
T8,8,PIGZ,3,1.751329
T8,8,GZ,4,0.490798
T8,8,RG,4,0.577137
T8,8,PIGZ,4,1.763795
T8,8,GZ,5,0.473858
T8,8,RG,5,0.546485
T8,8,PIGZ,5,1.753126
T8,8,GZ,6,0.491030
T8,8,RG,6,0.553223
T8,8,PIGZ,6,1.777540
T8,8,GZ,7,0.485309
T8,8,RG,7,0.551645
T8,8,PIGZ,7,1.763980
T8,8,GZ,8,0.481372
T8,8,RG,8,0.565654
T8,8,PIGZ,8,1.755327
T8,8,GZ,9,0.494947
T8,8,RG,9,0.566746
T8,8,PIGZ,9,1.735322
T8,8,GZ,10,0.485861
T8,8,RG,10,0.559523
T8,8,PIGZ,10,1.759701
T8,8,GZ,11,0.477776
T8,8,RG,11,0.545413
T8,8,PIGZ,11,1.739589
