corpus,arm,rep,wall_s
silesia,GZ,1,0.363182
silesia,IGZIP,1,0.349678
silesia,LIBDEFLATE,1,0.431658
silesia,PIGZ,1,0.754246
silesia,RG,1,0.428370
silesia,GUNZIP,1,1.264856
silesia,GZ,2,0.358258
silesia,IGZIP,2,0.343353
silesia,LIBDEFLATE,2,0.448809
silesia,PIGZ,2,0.785107
silesia,RG,2,0.439676
silesia,GUNZIP,2,1.259305
silesia,GZ,3,0.359401
silesia,IGZIP,3,0.344350
silesia,LIBDEFLATE,3,0.432494
silesia,PIGZ,3,0.756944
silesia,RG,3,0.430236
silesia,GUNZIP,3,1.267399
silesia,GZ,4,0.359875
silesia,IGZIP,4,0.346308
silesia,LIBDEFLATE,4,0.431289
silesia,PIGZ,4,0.753833
silesia,RG,4,0.426386
silesia,GUNZIP,4,1.266864
silesia,GZ,5,0.360791
silesia,IGZIP,5,0.345442
silesia,LIBDEFLATE,5,0.430333
silesia,PIGZ,5,0.756390
silesia,RG,5,0.426185
silesia,GUNZIP,5,1.277727
silesia,GZ,6,0.359148
silesia,IGZIP,6,0.346215
silesia,LIBDEFLATE,6,0.429346
silesia,PIGZ,6,0.757080
silesia,RG,6,0.431108
silesia,GUNZIP,6,1.268201
silesia,GZ,7,0.357658
silesia,IGZIP,7,0.345152
silesia,LIBDEFLATE,7,0.426616
silesia,PIGZ,7,0.749332
silesia,RG,7,0.422889
silesia,GUNZIP,7,1.266622
silesia,GZ,8,0.357281
silesia,IGZIP,8,0.344213
silesia,LIBDEFLATE,8,0.429201
silesia,PIGZ,8,0.749269
silesia,RG,8,0.429873
silesia,GUNZIP,8,1.278477
silesia,GZ,9,0.364056
silesia,IGZIP,9,0.345999
silesia,LIBDEFLATE,9,0.429167
silesia,PIGZ,9,0.751790
silesia,RG,9,0.429375
silesia,GUNZIP,9,1.269472
silesia,GZ,10,0.361617
silesia,IGZIP,10,0.349031
silesia,LIBDEFLATE,10,0.438667
silesia,PIGZ,10,0.763122
silesia,RG,10,0.428445
silesia,GUNZIP,10,1.270714
silesia,GZ,11,0.364002
silesia,IGZIP,11,0.349004
silesia,LIBDEFLATE,11,0.432098
silesia,PIGZ,11,0.763017
silesia,RG,11,0.432484
silesia,GUNZIP,11,1.270819
silesia,GZ,12,0.358989
silesia,IGZIP,12,0.346440
silesia,LIBDEFLATE,12,0.429204
silesia,PIGZ,12,0.754641
silesia,RG,12,0.424879
silesia,GUNZIP,12,1.264990
silesia,GZ,13,0.359001
silesia,IGZIP,13,0.345388
silesia,LIBDEFLATE,13,0.423535
silesia,PIGZ,13,0.754834
silesia,RG,13,0.424809
silesia,GUNZIP,13,1.270373
monorepo,GZ,1,0.069568
monorepo,IGZIP,1,0.062554
monorepo,LIBDEFLATE,1,0.084960
monorepo,PIGZ,1,0.149327
monorepo,RG,1,0.119702
monorepo,GUNZIP,1,0.258532
monorepo,GZ,2,0.067695
monorepo,IGZIP,2,0.083062
monorepo,LIBDEFLATE,2,0.086002
monorepo,PIGZ,2,0.148362
monorepo,RG,2,0.123352
monorepo,GUNZIP,2,0.257508
monorepo,GZ,3,0.067838
monorepo,IGZIP,3,0.062228
monorepo,LIBDEFLATE,3,0.084772
monorepo,PIGZ,3,0.149803
monorepo,RG,3,0.122443
monorepo,GUNZIP,3,0.257559
monorepo,GZ,4,0.067320
monorepo,IGZIP,4,0.060437
monorepo,LIBDEFLATE,4,0.086655
monorepo,PIGZ,4,0.148962
monorepo,RG,4,0.121249
monorepo,GUNZIP,4,0.258321
monorepo,GZ,5,0.068524
monorepo,IGZIP,5,0.062543
monorepo,LIBDEFLATE,5,0.084667
monorepo,PIGZ,5,0.147645
monorepo,RG,5,0.123419
monorepo,GUNZIP,5,0.258012
monorepo,GZ,6,0.066922
monorepo,IGZIP,6,0.060498
monorepo,LIBDEFLATE,6,0.086384
monorepo,PIGZ,6,0.147043
monorepo,RG,6,0.122256
monorepo,GUNZIP,6,0.257336
monorepo,GZ,7,0.066974
monorepo,IGZIP,7,0.062356
monorepo,LIBDEFLATE,7,0.085462
monorepo,PIGZ,7,0.145939
monorepo,RG,7,0.122694
monorepo,GUNZIP,7,0.255672
monorepo,GZ,8,0.066346
monorepo,IGZIP,8,0.061636
monorepo,LIBDEFLATE,8,0.083586
monorepo,PIGZ,8,0.147536
monorepo,RG,8,0.121652
monorepo,GUNZIP,8,0.254493
monorepo,GZ,9,0.068767
monorepo,IGZIP,9,0.062690
monorepo,LIBDEFLATE,9,0.083647
monorepo,PIGZ,9,0.147463
monorepo,RG,9,0.120905
monorepo,GUNZIP,9,0.256511
monorepo,GZ,10,0.067647
monorepo,IGZIP,10,0.063404
monorepo,LIBDEFLATE,10,0.084018
monorepo,PIGZ,10,0.147005
monorepo,RG,10,0.122071
monorepo,GUNZIP,10,0.256353
monorepo,GZ,11,0.067540
monorepo,IGZIP,11,0.063082
monorepo,LIBDEFLATE,11,0.085542
monorepo,PIGZ,11,0.148104
monorepo,RG,11,0.122962
monorepo,GUNZIP,11,0.256667
monorepo,GZ,12,0.067801
monorepo,IGZIP,12,0.062467
monorepo,LIBDEFLATE,12,0.086281
monorepo,PIGZ,12,0.154214
monorepo,RG,12,0.124295
monorepo,GUNZIP,12,0.255697
monorepo,GZ,13,0.067823
monorepo,IGZIP,13,0.061572
monorepo,LIBDEFLATE,13,0.083712
monorepo,PIGZ,13,0.146771
monorepo,RG,13,0.120761
monorepo,GUNZIP,13,0.255564
nasa,GZ,1,0.139350
nasa,IGZIP,1,0.127658
nasa,LIBDEFLATE,1,0.246579
nasa,PIGZ,1,0.350797
nasa,RG,1,0.270204
nasa,GUNZIP,1,0.783052
nasa,GZ,2,0.137701
nasa,IGZIP,2,0.130850
nasa,LIBDEFLATE,2,0.245288
nasa,PIGZ,2,0.341539
nasa,RG,2,0.272523
nasa,GUNZIP,2,0.782955
nasa,GZ,3,0.138576
nasa,IGZIP,3,0.129315
nasa,LIBDEFLATE,3,0.245733
nasa,PIGZ,3,0.342389
nasa,RG,3,0.271790
nasa,GUNZIP,3,0.788255
nasa,GZ,4,0.139174
nasa,IGZIP,4,0.131369
nasa,LIBDEFLATE,4,0.245769
nasa,PIGZ,4,0.345154
nasa,RG,4,0.272494
nasa,GUNZIP,4,0.785514
nasa,GZ,5,0.140736
nasa,IGZIP,5,0.131867
nasa,LIBDEFLATE,5,0.246780
nasa,PIGZ,5,0.347291
nasa,RG,5,0.267505
nasa,GUNZIP,5,0.785053
nasa,GZ,6,0.140109
nasa,IGZIP,6,0.130138
nasa,LIBDEFLATE,6,0.245676
nasa,PIGZ,6,0.343950
nasa,RG,6,0.271907
nasa,GUNZIP,6,0.781488
nasa,GZ,7,0.139885
nasa,IGZIP,7,0.129004
nasa,LIBDEFLATE,7,0.249678
nasa,PIGZ,7,0.343132
nasa,RG,7,0.273337
nasa,GUNZIP,7,0.785050
nasa,GZ,8,0.139643
nasa,IGZIP,8,0.131634
nasa,LIBDEFLATE,8,0.247412
nasa,PIGZ,8,0.345393
nasa,RG,8,0.270591
nasa,GUNZIP,8,0.779545
nasa,GZ,9,0.139338
nasa,IGZIP,9,0.129662
nasa,LIBDEFLATE,9,0.247109
nasa,PIGZ,9,0.342907
nasa,RG,9,0.269293
nasa,GUNZIP,9,0.782427
nasa,GZ,10,0.140925
nasa,IGZIP,10,0.131607
nasa,LIBDEFLATE,10,0.246869
nasa,PIGZ,10,0.342059
nasa,RG,10,0.273758
nasa,GUNZIP,10,0.783630
nasa,GZ,11,0.140695
nasa,IGZIP,11,0.132663
nasa,LIBDEFLATE,11,0.247247
nasa,PIGZ,11,0.343165
nasa,RG,11,0.270966
nasa,GUNZIP,11,0.781294
nasa,GZ,12,0.137429
nasa,IGZIP,12,0.129576
nasa,LIBDEFLATE,12,0.249450
