corpus,arm,rep,wall_s
silesia,GZ,1,0.742713
silesia,IGZIP,1,0.690837
silesia,LIBDEFLATE,1,0.747249
silesia,PIGZ,1,1.800030
silesia,RG,1,0.834811
silesia,GUNZIP,1,2.907414
silesia,GZ,2,0.739661
silesia,IGZIP,2,0.674722
silesia,LIBDEFLATE,2,0.753726
silesia,PIGZ,2,1.797386
silesia,RG,2,0.835252
silesia,GUNZIP,2,2.906264
silesia,GZ,3,0.737305
silesia,IGZIP,3,0.677353
silesia,LIBDEFLATE,3,0.755520
silesia,PIGZ,3,1.797821
silesia,RG,3,0.847211
silesia,GUNZIP,3,2.910274
silesia,GZ,4,0.738096
silesia,IGZIP,4,0.673082
silesia,LIBDEFLATE,4,0.756907
silesia,PIGZ,4,1.806820
silesia,RG,4,0.826159
silesia,GUNZIP,4,2.911829
silesia,GZ,5,0.738876
silesia,IGZIP,5,0.675050
silesia,LIBDEFLATE,5,0.750700
silesia,PIGZ,5,1.802228
silesia,RG,5,0.833962
silesia,GUNZIP,5,2.907522
silesia,GZ,6,0.737822
silesia,IGZIP,6,0.675095
silesia,LIBDEFLATE,6,0.753333
silesia,PIGZ,6,1.804031
silesia,RG,6,0.838282
silesia,GUNZIP,6,2.911130
silesia,GZ,7,0.737649
silesia,IGZIP,7,0.674284
silesia,LIBDEFLATE,7,0.753673
silesia,PIGZ,7,1.811181
silesia,RG,7,0.836087
silesia,GUNZIP,7,2.901253
silesia,GZ,8,0.733741
silesia,IGZIP,8,0.673527
silesia,LIBDEFLATE,8,0.746801
silesia,PIGZ,8,1.796659
silesia,RG,8,0.832434
silesia,GUNZIP,8,2.905059
silesia,GZ,9,0.738220
silesia,IGZIP,9,0.674018
silesia,LIBDEFLATE,9,0.750994
silesia,PIGZ,9,1.803616
silesia,RG,9,0.835399
silesia,GUNZIP,9,2.914860
silesia,GZ,10,0.741387
silesia,IGZIP,10,0.675081
silesia,LIBDEFLATE,10,0.753298
silesia,PIGZ,10,1.800243
silesia,RG,10,0.834123
silesia,GUNZIP,10,2.904314
silesia,GZ,11,0.735893
silesia,IGZIP,11,0.674480
silesia,LIBDEFLATE,11,0.745970
silesia,PIGZ,11,1.798166
silesia,RG,11,0.834026
silesia,GUNZIP,11,2.910195
silesia,GZ,12,0.737962
silesia,IGZIP,12,0.677500
silesia,LIBDEFLATE,12,0.750169
silesia,PIGZ,12,1.798851
silesia,RG,12,0.832837
silesia,GUNZIP,12,2.907501
silesia,GZ,13,0.734909
silesia,IGZIP,13,0.674921
silesia,LIBDEFLATE,13,0.751578
silesia,PIGZ,13,1.808260
silesia,RG,13,0.832355
silesia,GUNZIP,13,2.914699
monorepo,GZ,1,0.125663
monorepo,IGZIP,1,0.116234
monorepo,LIBDEFLATE,1,0.129421
monorepo,PIGZ,1,0.331534
monorepo,RG,1,0.208314
monorepo,GUNZIP,1,0.580008
monorepo,GZ,2,0.126254
monorepo,IGZIP,2,0.114881
monorepo,LIBDEFLATE,2,0.133341
monorepo,PIGZ,2,0.333137
monorepo,RG,2,0.212831
monorepo,GUNZIP,2,0.582033
monorepo,GZ,3,0.124481
monorepo,IGZIP,3,0.114603
monorepo,LIBDEFLATE,3,0.131027
monorepo,PIGZ,3,0.331255
monorepo,RG,3,0.208565
monorepo,GUNZIP,3,0.582015
monorepo,GZ,4,0.124752
monorepo,IGZIP,4,0.115328
monorepo,LIBDEFLATE,4,0.131333
monorepo,PIGZ,4,0.330943
monorepo,RG,4,0.210119
monorepo,GUNZIP,4,0.584483
monorepo,GZ,5,0.125012
monorepo,IGZIP,5,0.113903
monorepo,LIBDEFLATE,5,0.130402
monorepo,PIGZ,5,0.330997
monorepo,RG,5,0.210531
monorepo,GUNZIP,5,0.582172
monorepo,GZ,6,0.126756
monorepo,IGZIP,6,0.114076
