corpus,arm,rep,rawbytes,cyc,instr
silesia,BASE,1,211968000,1010887483,2824594957
silesia,CAND,1,211968000,1038739569,2888034698
silesia,BASE,2,211968000,1008166905,2825244942
silesia,CAND,2,211968000,1037752157,2886902172
silesia,BASE,3,211968000,1007755954,2824070042
silesia,CAND,3,211968000,1073763273,2889780865
silesia,BASE,4,211968000,1011049610,2827354671
silesia,CAND,4,211968000,1040450761,2886896286
silesia,BASE,5,211968000,1010098787,2824163985
silesia,CAND,5,211968000,1039713721,2890304438
silesia,BASE,6,211968000,1008496672,2827637522
silesia,CAND,6,211968000,1048810373,2890123923
silesia,BASE,7,211968000,1016407924,2823929843
silesia,CAND,7,211968000,1056189104,2886942141
silesia,BASE,8,211968000,1014063702,2824038365
silesia,CAND,8,211968000,1040945023,2887650021
silesia,BASE,9,211968000,1010985234,2827319235
silesia,CAND,9,211968000,1037860334,2890050095
silesia,BASE,10,211968000,1009418632,2827598419
silesia,CAND,10,211968000,1039922818,2890159476
silesia,BASE,11,211968000,1009649556,2827179243
silesia,CAND,11,211968000,1036022387,2887206306
silesia,BASE,12,211968000,1010880440,2824237245
silesia,CAND,12,211968000,1040599812,2887151511
silesia,BASE,13,211968000,1045650624,2823622388
silesia,CAND,13,211968000,1039232459,2886971491
silesia,BASE,14,211968000,1008769553,2824633216
silesia,CAND,14,211968000,1042368777,2891126524
silesia,BASE,15,211968000,1012110176,2823755400
silesia,CAND,15,211968000,1035238870,2890411758
nasa,BASE,1,205242368,373739940,889415729
nasa,CAND,1,205242368,386169379,930049955
nasa,BASE,2,205242368,374420664,891831760
nasa,CAND,2,205242368,387074413,930138394
nasa,BASE,3,205242368,371795357,892068525
nasa,CAND,3,205242368,389027653,929764098
nasa,BASE,4,205242368,371282169,889857627
nasa,CAND,4,205242368,386446431,931190254
nasa,BASE,5,205242368,401176553,889092468
nasa,CAND,5,205242368,394583925,929551305
nasa,BASE,6,205242368,370581840,891789422
nasa,CAND,6,205242368,387446418,929735782
nasa,BASE,7,205242368,370825762,891785690
nasa,CAND,7,205242368,385836206,930045605
nasa,BASE,8,205242368,370605945,889250557
nasa,CAND,8,205242368,385193766,929762750
nasa,BASE,9,205242368,369957217,889114159
nasa,CAND,9,205242368,385257475,929728643
nasa,BASE,10,205242368,371240670,889038623
nasa,CAND,10,205242368,387200793,932312293
nasa,BASE,11,205242368,370205054,889117807
nasa,CAND,11,205242368,386781541,929711978
nasa,BASE,12,205242368,374578681,889119762
nasa,CAND,12,205242368,387224027,932265394
nasa,BASE,13,205242368,370237606,889174851
nasa,CAND,13,205242368,385189926,932486798
nasa,BASE,14,205242368,373617506,889226626
nasa,CAND,14,205242368,388197861,929779472
nasa,BASE,15,205242368,373009796,889231612
nasa,CAND,15,205242368,385653083,930110562
monorepo,BASE,1,50915328,166991278,437911794
monorepo,CAND,1,50915328,178555130,447999406
monorepo,BASE,2,50915328,165405869,435617586
monorepo,CAND,2,50915328,179923171,448215025
monorepo,BASE,3,50915328,166297970,437936514
monorepo,CAND,3,50915328,178977904,448056690
monorepo,BASE,4,50915328,165519647,437876069
monorepo,CAND,4,50915328,179910152,448085777
monorepo,BASE,5,50915328,165330756,434562503
monorepo,CAND,5,50915328,178522426,447963563
monorepo,BASE,6,50915328,165556063,434762486
monorepo,CAND,6,50915328,180084434,448152282
monorepo,BASE,7,50915328,166387407,437826083
monorepo,CAND,7,50915328,179786638,450982096
monorepo,BASE,8,50915328,165008958,434708621
monorepo,CAND,8,50915328,179190903,448050427
monorepo,BASE,9,50915328,166382021,434668936
monorepo,CAND,9,50915328,180608855,448054538
monorepo,BASE,10,50915328,166578706,437789708
monorepo,CAND,10,50915328,179808582,448092036
monorepo,BASE,11,50915328,166563217,434615903
monorepo,CAND,11,50915328,180015403,450753186
monorepo,BASE,12,50915328,166197903,434682020
monorepo,CAND,12,50915328,178649039,447978491
monorepo,BASE,13,50915328,166141062,434772694
monorepo,CAND,13,50915328,179732380,448044240
monorepo,BASE,14,50915328,165715878,434739739
monorepo,CAND,14,50915328,179096432,448011763
monorepo,BASE,15,50915328,165716791,434734152
monorepo,CAND,15,50915328,180354288,448026728
