corpus,inject,rep,rawbytes,cyc,instr
silesia,0,1,211968000,1009379474,2824147444
silesia,1,1,211968000,1130255637,3779901297
silesia,2,1,211968000,1237340908,4417233713
silesia,4,1,211968000,1568412971,5690646983
silesia,0,2,211968000,1018736236,2823705156
silesia,1,2,211968000,1135310537,3780817860
silesia,2,2,211968000,1231209443,4416878751
silesia,4,2,211968000,1567356790,5695680579
silesia,0,3,211968000,1009330759,2827073174
silesia,1,3,211968000,1126454215,3780753806
silesia,2,3,211968000,1224752529,4417021855
silesia,4,3,211968000,1553188541,5690044355
silesia,0,4,211968000,1008976789,2823481667
silesia,1,4,211968000,1131023839,3780526062
silesia,2,4,211968000,1225863373,4422045037
silesia,4,4,211968000,1558014492,5690832658
silesia,0,5,211968000,1009922809,2823885840
silesia,1,5,211968000,1130334818,3780793610
silesia,2,5,211968000,1225173244,4421560224
silesia,4,5,211968000,1562990271,5695074657
silesia,0,6,211968000,1009147109,2827458310
silesia,1,6,211968000,1129574901,3784514886
silesia,2,6,211968000,1278006213,4416325963
silesia,4,6,211968000,1556892220,5690048782
silesia,0,7,211968000,1006558754,2823856310
silesia,1,7,211968000,1125120231,3785035545
silesia,2,7,211968000,1227554008,4417028310
silesia,4,7,211968000,1564135753,5695622253
silesia,0,8,211968000,1009914302,2823646558
silesia,1,8,211968000,1141401758,3785252089
silesia,2,8,211968000,1236380320,4421707340
silesia,4,8,211968000,1562723836,5690432419
silesia,0,9,211968000,1031294089,2827287857
silesia,1,9,211968000,1154822024,3780422515
silesia,2,9,211968000,1230774946,4417008568
silesia,4,9,211968000,1561901596,5690350708
silesia,0,10,211968000,1016520868,2824078095
silesia,1,10,211968000,1131453877,3780770008
silesia,2,10,211968000,1230882510,4417080223
silesia,4,10,211968000,1560023117,5690612985
silesia,0,11,211968000,1008343659,2823845055
silesia,1,11,211968000,1138962312,3781445409
silesia,2,11,211968000,1232646295,4421333997
silesia,4,11,211968000,1553774690,5694840921
nasa,0,1,205242368,384432799,890540902
nasa,1,1,205242368,419113302,1117883255
nasa,2,1,205242368,447148550,1274288772
nasa,4,1,205242368,524766338,1586076417
nasa,0,2,205242368,372496548,889249117
nasa,1,2,205242368,419861883,1118131533
nasa,2,2,205242368,444853754,1277424748
nasa,4,2,205242368,527365932,1586198856
nasa,0,3,205242368,372324701,889283220
nasa,1,3,205242368,417993721,1121052544
nasa,2,3,205242368,448097880,1274016138
nasa,4,3,205242368,521986964,1585866011
nasa,0,4,205242368,376481373,888958608
nasa,1,4,205242368,422926033,1117961788
nasa,2,4,205242368,449260876,1274134892
nasa,4,4,205242368,525414200,1587847559
nasa,0,5,205242368,371695917,889152458
nasa,1,5,205242368,416819227,1118126643
nasa,2,5,205242368,450973362,1274261819
nasa,4,5,205242368,522526997,1589754383
nasa,0,6,205242368,376950827,889249703
nasa,1,6,205242368,419322060,1118089346
nasa,2,6,205242368,446538106,1277559458
nasa,4,6,205242368,519542645,1586170138
nasa,0,7,205242368,372851048,891917799
nasa,1,7,205242368,419647866,1121159928
nasa,2,7,205242368,455588482,1277632440
nasa,4,7,205242368,526370401,1586438510
nasa,0,8,205242368,372042059,892075065
nasa,1,8,205242368,418465588,1121220641
nasa,2,8,205242368,446740304,1277392699
nasa,4,8,205242368,523724192,1590015117
nasa,0,9,205242368,373793794,891624804
nasa,1,9,205242368,419348169,1118016377
nasa,2,9,205242368,453866049,1274669126
nasa,4,9,205242368,522669367,1586615173
nasa,0,10,205242368,371402238,890743481
nasa,1,10,205242368,417194001,1118021997
nasa,2,10,205242368,447675352,1277505894
nasa,4,10,205242368,523066974,1586009288
nasa,0,11,205242368,373204148,889124551
nasa,1,11,205242368,419141044,1120560510
nasa,2,11,205242368,463798042,1277216502
nasa,4,11,205242368,520516211,1586257306
