# PMU: plain core counters (AMD)
corpus,tool,rep,rawbytes,cyc,instr,branches,brmiss
silesia,GZ,1,211968000,1125110887,2852119346,12326253,12326253
silesia,IGZIP,1,211968000,1081269703,2419116769,13680806,13680806
silesia,GZ,2,211968000,1121784064,2852037611,12339164,12339164
silesia,IGZIP,2,211968000,1095420861,2418920531,13702319,13702319
silesia,GZ,3,211968000,1124391454,2852048166,12354557,12354557
silesia,IGZIP,3,211968000,1082198156,2418961490,13677204,13677204
silesia,GZ,4,211968000,1123794815,2851955437,12376952,12376952
silesia,IGZIP,4,211968000,1082394974,2419188942,13709399,13709399
silesia,GZ,5,211968000,1121537988,2851961273,12398755,12398755
silesia,IGZIP,5,211968000,1081918344,2419019890,13736854,13736854
silesia,GZ,6,211968000,1123584572,2851993049,12409854,12409854
silesia,IGZIP,6,211968000,1078602142,2418987117,13566277,13566277
silesia,GZ,7,211968000,1121718669,2852014617,12419239,12419239
silesia,IGZIP,7,211968000,1081430348,2419031223,13740686,13740686
silesia,GZ,8,211968000,1130488407,2851881003,12416794,12416794
silesia,IGZIP,8,211968000,1082904063,2419191423,13708985,13708985
silesia,GZ,9,211968000,1123519308,2852060302,12421522,12421522
silesia,IGZIP,9,211968000,1089083547,2419569881,13774621,13774621
nasa,GZ,1,205242368,423677986,901295033,6332336,6332336
nasa,IGZIP,1,205242368,396033493,757842119,7620410,7620410
nasa,GZ,2,205242368,421778935,901338585,6300158,6300158
nasa,IGZIP,2,205242368,391306399,757824554,7435294,7435294
nasa,GZ,3,205242368,418635450,901183857,6314479,6314479
nasa,IGZIP,3,205242368,393097611,757805812,7419708,7419708
nasa,GZ,4,205242368,419720419,901209036,6309566,6309566
nasa,IGZIP,4,205242368,393690555,757809964,7538356,7538356
nasa,GZ,5,205242368,425268016,901184471,6328040,6328040
nasa,IGZIP,5,205242368,395848747,757858155,7442617,7442617
nasa,GZ,6,205242368,418381956,901219474,6336607,6336607
nasa,IGZIP,6,205242368,390589996,757805639,7406931,7406931
nasa,GZ,7,205242368,419673146,901228314,6325623,6325623
nasa,IGZIP,7,205242368,393001536,757838326,7579268,7579268
nasa,GZ,8,205242368,423048237,901280980,6341104,6341104
nasa,IGZIP,8,205242368,392752566,757816108,7428293,7428293
nasa,GZ,9,205242368,421467292,901149474,6332342,6332342
nasa,IGZIP,9,205242368,392556226,757786771,7478512,7478512
