# PMU: Intel hybrid cpu_core/
corpus,tool,rep,rawbytes,cyc,instr,branches,brmiss
silesia,GZ,1,211968000,1012297788,2834746606,472323355,11078945
silesia,IGZIP,1,211968000,931229417,2415742188,366751201,12076391
silesia,GZ,2,211968000,1011359389,2834215984,472240725,11067421
silesia,IGZIP,2,211968000,933296620,2416386833,366839352,12075650
silesia,GZ,3,211968000,1018078004,2833813098,472163096,11064229
silesia,IGZIP,3,211968000,924579753,2415108952,366639021,12055921
silesia,GZ,4,211968000,1009619761,2834587828,472285901,11057686
silesia,IGZIP,4,211968000,926151347,2418504205,367138036,12075156
silesia,GZ,5,211968000,1010992915,2833724951,472139285,11049667
silesia,IGZIP,5,211968000,927954111,2418728360,367166814,12069473
silesia,GZ,6,211968000,1009886330,2833894422,472165350,11054844
silesia,IGZIP,6,211968000,929724702,2415754002,366739793,12073794
silesia,GZ,7,211968000,1025464743,2837810426,472815237,11078027
silesia,IGZIP,7,211968000,927198446,2418734885,367176470,12054243
silesia,GZ,8,211968000,1011823912,2834050276,472204374,11068916
silesia,IGZIP,8,211968000,926967041,2415953387,366776774,12043757
silesia,GZ,9,211968000,1010497310,2834256574,472233679,11058361
silesia,IGZIP,9,211968000,927088975,2417609065,367011663,12067909
nasa,GZ,1,205242368,370520878,890208418,152374087,5601829
nasa,IGZIP,1,205242368,323762771,755953072,115655634,6594597
nasa,GZ,2,205242368,370721729,892597264,152775706,5615567
nasa,IGZIP,2,205242368,322851660,755659773,115608850,6604304
nasa,GZ,3,205242368,370169823,889710751,152287881,5600630
nasa,IGZIP,3,205242368,323986717,755697008,115613872,6605979
nasa,GZ,4,205242368,371670569,890161663,152363880,5595783
nasa,IGZIP,4,205242368,322969125,755766349,115625509,6595368
nasa,GZ,5,205242368,370949173,889398066,152239006,5596999
nasa,IGZIP,5,205242368,322706504,755833070,115637351,6593569
nasa,GZ,6,205242368,370303854,890826504,152474718,5609476
nasa,IGZIP,6,205242368,327102704,755716965,115613507,6599584
nasa,GZ,7,205242368,370275871,889466355,152250522,5605818
nasa,IGZIP,7,205242368,324873558,758652884,116047613,6626453
nasa,GZ,8,205242368,372438689,892225836,152722467,5617452
nasa,IGZIP,8,205242368,324517431,756056271,115664589,6605446
nasa,GZ,9,205242368,372236189,892588226,152774435,5618297
nasa,IGZIP,9,205242368,324000317,755930622,115652107,6592705
