corpus,arm,rep,rawbytes,cyc,instr
silesia,BASE,1,211968000,1035045482,2835041201
silesia,CAND,1,211968000,1414704169,3216930270
silesia,BASE,2,211968000,1020649366,2834006591
silesia,CAND,2,211968000,1409417711,3221705334
silesia,BASE,3,211968000,1021031690,2834163914
silesia,CAND,3,211968000,1416100294,3223778354
silesia,BASE,4,211968000,1022955644,2837529818
silesia,CAND,4,211968000,1417526765,3220503649
silesia,BASE,5,211968000,1061203116,2834170981
silesia,CAND,5,211968000,1406367769,3222859976
silesia,BASE,6,211968000,1014069077,2834664526
silesia,CAND,6,211968000,1413417417,3223227181
silesia,BASE,7,211968000,1015314438,2835452452
silesia,CAND,7,211968000,1449316968,3223214105
silesia,BASE,8,211968000,1012812371,2833884921
silesia,CAND,8,211968000,1406137354,3220586280
silesia,BASE,9,211968000,1014941132,2834003525
silesia,CAND,9,211968000,1409287350,3225016113
silesia,BASE,10,211968000,1021658343,2837990781
silesia,CAND,10,211968000,1413272759,3222135614
silesia,BASE,11,211968000,1014959113,2834770195
silesia,CAND,11,211968000,1421553841,3222001942
silesia,BASE,12,211968000,1046965135,2834229569
silesia,CAND,12,211968000,1420172297,3220427757
silesia,BASE,13,211968000,1056862203,2836488906
silesia,CAND,13,211968000,1408903203,3221592836
nasa,BASE,1,205242368,371615555,889300409
nasa,CAND,1,205242368,21373452709,35232981422
nasa,BASE,2,205242368,382691088,894212791
nasa,CAND,2,205242368,28317467635,37199167048
nasa,BASE,3,205242368,380604274,893437504
nasa,CAND,3,205242368,24364044625,36221505642
nasa,BASE,4,205242368,379047760,893950166
nasa,CAND,4,205242368,25641287393,36735346688
nasa,BASE,5,205242368,384381051,894627071
nasa,CAND,5,205242368,24607723464,36468255006
nasa,BASE,6,205242368,384388768,894468352
nasa,CAND,6,205242368,23262721725,36015341099
nasa,BASE,7,205242368,382245816,897300456
nasa,CAND,7,205242368,26652505607,36934770126
nasa,BASE,8,205242368,381279134,894247741
nasa,CAND,8,205242368,27387654985,36966544395
nasa,BASE,9,205242368,380742741,894387351
nasa,CAND,9,205242368,24186028185,36139499305
nasa,BASE,10,205242368,381647106,896486820
nasa,CAND,10,205242368,20431549650,36246132552
nasa,BASE,11,205242368,378805309,896475334
nasa,CAND,11,205242368,25039170758,36767361438
nasa,BASE,12,205242368,379455302,893545353
nasa,CAND,12,205242368,25678766039,36593783982
nasa,BASE,13,205242368,379842714,893561433
