cell,level,rep,external_ms,internal_ms,teardown_ms
T2,0,1,269.979,252.839,17.140
T2,0,2,269.790,251.885,17.905
T2,0,3,270.202,251.942,18.260
T2,0,4,268.630,250.550,18.080
T2,0,5,270.427,251.853,18.574
T2,0,6,270.941,251.504,19.437
T2,0,7,270.329,251.704,18.625
T2,0,8,269.182,250.673,18.509
T2,0,9,271.286,250.985,20.301
T2,0,10,270.344,251.859,18.485
T2,0,11,269.342,250.823,18.519
T2,0,12,270.861,251.469,19.392
T2,40,1,299.674,278.416,21.258
T2,40,2,299.311,276.887,22.424
T2,40,3,300.029,278.077,21.952
T2,40,4,297.189,276.805,20.384
T2,40,5,296.903,276.627,20.276
T2,40,6,297.786,277.133,20.653
T2,40,7,298.289,277.309,20.980
T2,40,8,417.162,389.902,27.260
T2,40,9,299.856,277.592,22.264
T2,40,10,300.182,278.509,21.673
T2,40,11,299.202,277.044,22.158
T2,40,12,297.928,276.032,21.896
T2,60,1,313.853,291.225,22.628
T2,60,2,313.272,289.393,23.879
T2,60,3,312.110,290.173,21.937
T2,60,4,314.229,289.207,25.022
T2,60,5,316.470,291.826,24.644
T2,60,6,313.899,291.635,22.264
T2,60,7,313.705,290.517,23.188
T2,60,8,315.340,289.641,25.699
T2,60,9,313.009,290.402,22.607
T2,60,10,315.631,290.872,24.759
T2,60,11,313.043,291.223,21.820
T2,60,12,314.762,289.398,25.364
