# tri-falsifier  BIN=/dev/shm/tri-target/release/gzippy  N=15  2026-06-23T16:12:49Z
# bin-sha: f6094595848f9bd2c887c3dfaef3fde0335077644a81355f0977c0f725974cc5
cell,corpus,threads,pert,level,kind,rep,wall_s,sha,hits
T4,silesia.gz,4,BASE,0,base,1,0.996927,-,-
T4,silesia.gz,4,MARKER,50,spin,1,1.241007,-,-
T4,silesia.gz,4,MARKER,100,spin,1,1.563424,-,-
T4,silesia.gz,4,MARKER,100,sleep,1,1.029819,-,-
T4,silesia.gz,4,RSS,20,mmap,1,1.015793,-,-
T4,silesia.gz,4,RSS,40,mmap,1,1.032329,-,-
T4,silesia.gz,4,RSS,60,mmap,1,1.045939,-,-
T4,silesia.gz,4,BASE,0,base,2,1.003680,-,-
T4,silesia.gz,4,MARKER,50,spin,2,1.232996,-,-
T4,silesia.gz,4,MARKER,100,spin,2,1.547234,-,-
T4,silesia.gz,4,MARKER,100,sleep,2,1.029125,-,-
T4,silesia.gz,4,RSS,20,mmap,2,1.017883,-,-
T4,silesia.gz,4,RSS,40,mmap,2,1.035123,-,-
T4,silesia.gz,4,RSS,60,mmap,2,1.042545,-,-
T4,silesia.gz,4,BASE,0,base,3,1.002931,-,-
T4,silesia.gz,4,MARKER,50,spin,3,1.236593,-,-
T4,silesia.gz,4,MARKER,100,spin,3,1.561307,-,-
T4,silesia.gz,4,MARKER,100,sleep,3,1.035719,-,-
T4,silesia.gz,4,RSS,20,mmap,3,1.016296,-,-
T4,silesia.gz,4,RSS,40,mmap,3,1.030672,-,-
T4,silesia.gz,4,RSS,60,mmap,3,1.049968,-,-
T4,silesia.gz,4,BASE,0,base,4,1.005238,-,-
T4,silesia.gz,4,MARKER,50,spin,4,1.246122,-,-
T4,silesia.gz,4,MARKER,100,spin,4,1.565656,-,-
T4,silesia.gz,4,MARKER,100,sleep,4,1.031568,-,-
T4,silesia.gz,4,RSS,20,mmap,4,1.016103,-,-
T4,silesia.gz,4,RSS,40,mmap,4,1.031885,-,-
T4,silesia.gz,4,RSS,60,mmap,4,1.044368,-,-
T4,silesia.gz,4,BASE,0,base,5,1.004593,-,-
T4,silesia.gz,4,MARKER,50,spin,5,1.236003,-,-
T4,silesia.gz,4,MARKER,100,spin,5,1.546185,-,-
T4,silesia.gz,4,MARKER,100,sleep,5,1.038897,-,-
T4,silesia.gz,4,RSS,20,mmap,5,1.018170,-,-
T4,silesia.gz,4,RSS,40,mmap,5,1.043005,-,-
T4,silesia.gz,4,RSS,60,mmap,5,1.052965,-,-
T4,silesia.gz,4,BASE,0,base,6,1.006387,-,-
T4,silesia.gz,4,MARKER,50,spin,6,1.233991,-,-
T4,silesia.gz,4,MARKER,100,spin,6,1.559218,-,-
T4,silesia.gz,4,MARKER,100,sleep,6,1.032613,-,-
T4,silesia.gz,4,RSS,20,mmap,6,1.020401,-,-
T4,silesia.gz,4,RSS,40,mmap,6,1.031693,-,-
T4,silesia.gz,4,RSS,60,mmap,6,1.051338,-,-
T4,silesia.gz,4,BASE,0,base,7,0.998158,-,-
T4,silesia.gz,4,MARKER,50,spin,7,1.231710,-,-
T4,silesia.gz,4,MARKER,100,spin,7,1.551612,-,-
T4,silesia.gz,4,MARKER,100,sleep,7,1.030686,-,-
T4,silesia.gz,4,RSS,20,mmap,7,1.015170,-,-
T4,silesia.gz,4,RSS,40,mmap,7,1.033932,-,-
T4,silesia.gz,4,RSS,60,mmap,7,1.052902,-,-
T4,silesia.gz,4,BASE,0,base,8,1.000935,-,-
T4,silesia.gz,4,MARKER,50,spin,8,1.240077,-,-
T4,silesia.gz,4,MARKER,100,spin,8,1.583386,-,-
T4,silesia.gz,4,MARKER,100,sleep,8,1.036270,-,-
T4,silesia.gz,4,RSS,20,mmap,8,1.026201,-,-
T4,silesia.gz,4,RSS,40,mmap,8,1.031402,-,-
T4,silesia.gz,4,RSS,60,mmap,8,1.045678,-,-
T4,silesia.gz,4,BASE,0,base,9,1.001307,-,-
T4,silesia.gz,4,MARKER,50,spin,9,1.228740,-,-
T4,silesia.gz,4,MARKER,100,spin,9,1.555376,-,-
T4,silesia.gz,4,MARKER,100,sleep,9,1.027408,-,-
T4,silesia.gz,4,RSS,20,mmap,9,1.014647,-,-
T4,silesia.gz,4,RSS,40,mmap,9,1.034179,-,-
T4,silesia.gz,4,RSS,60,mmap,9,1.045069,-,-
T4,silesia.gz,4,BASE,0,base,10,1.003727,-,-
T4,silesia.gz,4,MARKER,50,spin,10,1.236702,-,-
T4,silesia.gz,4,MARKER,100,spin,10,1.563997,-,-
